iter	Passed	Remaining
278	381	985
279	382	983
280	383	980
281	383	977
282	384	974
283	385	972
284	386	969
285	387	966
286	388	964
287	388	961
288	389	958
289	390	956
290	391	954
291	392	952
292	393	950
293	395	948
294	396	947
295	398	947
296	399	945
297	400	943
298	401	941
299	402	939
300	403	937
301	404	935
302	405	933
303	407	931
304	408	929
305	409	927
306	410	926
307	411	924
308	412	922
309	413	920
310	414	918
311	415	916
312	416	914
313	417	912
314	418	910
315	419	908
316	420	905
317	421	903
318	422	901
319	423	899
320	424	897
321	425	895
322	426	893
323	427	891
324	428	889
325	429	887
326	430	885
327	431	883
328	432	881
329	433	879
330	434	878
331	435	876
332	436	874
333	437	872
334	438	870
335	439	868
336	440	866
337	441	864
338	442	862
339	443	860
340	444	858
341	445	856
342	446	854
343	447	852
344	448	850
345	448	848
346	449	846
347	450	844
348	451	842
349	452	840
350	453	838
351	454	836
352	455	834
353	456	832
354	457	830
355	457	828
356	458	826
357	460	825
358	460	823
359	462	821
360	463	819
361	463	817
362	464	815
363	465	814
364	466	812
365	467	810
366	468	808
367	469	807
368	470	805
369	472	803
370	473	802
371	474	800
372	475	798
373	476	796
374	477	795
375	478	793
376	479	792
377	480	790
378	481	788
379	482	786
380	483	785
381	484	783
382	485	782
383	486	780
384	487	779
385	488	777
386	489	775
387	491	774
388	492	772
389	493	771
390	493	769
391	494	767
392	495	766
393	496	764
394	498	762
395	499	761
396	500	759
397	501	757
398	502	756
399	503	754
400	504	753
401	505	751
402	506	750
403	507	748
404	508	746
405	509	745
406	510	744
407	511	742
408	512	740
409	513	739
410	514	737
411	515	735
412	516	734
413	517	732
414	518	730
415	519	729
416	520	727
417	521	726
418	522	724
419	523	723
420	524	721
421	525	719
422	526	718
423	527	716
424	528	714
425	529	713
426	530	711
427	531	709
428	532	708
429	533	706
430	534	705
431	535	704
432	536	703
433	538	701
434	539	700
435	540	698
436	541	697
437	542	695
438	543	694
439	544	692
440	545	690
441	546	689
442	547	687
443	548	686
444	549	684
445	549	683
446	550	681
447	551	679
448	552	678
449	553	676
450	554	675
451	555	673
452	556	672
453	557	670
454	558	669
455	559	667
456	560	666
457	561	664
458	562	662
459	563	661
460	564	659
461	565	658
462	566	656
463	567	655
464	568	653
465	569	652
466	569	650
467	570	648
468	571	647
469	572	645
470	573	644
471	574	642
472	575	641
473	576	639
474	577	638
475	578	636
476	579	634
477	579	633
478	581	631
479	581	630
480	582	628
481	583	627
482	584	625
483	585	624
484	586	623
485	587	621
486	588	620
487	589	618
488	590	617
489	591	615
490	592	614
491	593	612
492	594	611
493	595	609
494	596	608
495	597	606
496	598	605
497	599	603
498	600	602
499	601	601
500	601	599
501	602	598
502	603	596
503	604	594
504	605	593
505	606	591
506	606	590
507	607	588
508	608	586
509	609	585
510	609	583
511	610	582
512	611	580
513	612	579
514	613	577
515	614	576
516	614	574
517	615	572
518	616	571
519	617	569
520	618	568
521	618	566
522	619	565
523	620	563
524	621	562
525	622	560
526	622	558
527	623	557
528	624	555
529	625	554
530	626	553
531	626	551
532	627	550
533	628	548
534	629	547
535	630	545
536	631	544
537	632	542
538	632	541
539	633	539
540	634	538
541	635	536
542	636	535
543	636	533
544	637	532
545	638	531
546	639	529
547	640	528
548	641	527
549	642	525
550	643	524
551	644	523
552	645	521
553	646	520
554	647	519
555	648	517
556	649	516
557	650	515
558	651	514
559	652	512
560	653	511
561	654	510
562	655	508
563	656	507
564	657	505
565	658	504
566	658	503
567	659	501
568	660	500
569	661	499
570	662	497
571	663	496
572	664	494
573	665	493
574	665	492
575	666	490
576	667	489
577	668	488
578	669	486
579	670	485
580	671	484
581	672	482
582	672	481
583	673	479
584	674	478
585	675	477
586	676	475
587	676	474
588	677	472
589	678	471
590	679	470
591	680	468
592	680	467
593	681	466
594	682	464
595	683	463
596	684	461
597	685	460
598	686	459
599	687	458
600	687	456
601	688	455
602	689	453
603	690	452
604	691	451
605	691	449
606	692	448
607	693	447
608	694	445
609	695	444
610	695	443
611	696	441
612	697	440
613	698	438
614	699	437
615	699	436
616	700	434
617	701	433
618	702	432
619	703	431
620	704	429
621	704	428
622	705	427
623	706	425
624	707	424
625	708	423
626	709	421
627	710	420
628	711	419
629	712	418
630	713	417
631	715	416
632	716	415
633	717	414
634	718	413
635	720	412
636	721	411
637	722	409
638	723	408
639	724	407
640	726	406
641	727	405
642	728	404
643	729	403
644	730	402
645	732	401
646	733	400
647	734	399
648	735	397
649	737	396
650	738	395
651	739	394
652	740	393
653	742	392
654	743	391
655	744	390
656	745	389
657	747	388
658	748	387
659	749	386
660	750	385
661	752	384
662	753	382
663	754	381
664	755	380
665	757	379
666	758	378
667	759	377
668	760	376
669	762	375
670	763	374
671	764	373
672	765	372
673	767	371
674	768	369
675	769	368
676	770	367
677	772	366
678	773	365
679	774	364
680	775	363
681	777	362
682	778	361
683	779	360
684	780	359
685	782	357
686	783	356
687	784	355
688	785	354
689	787	353
690	788	352
691	789	351
692	790	350
693	792	349
694	793	348
695	794	347
696	795	345
697	796	344
698	798	343
699	799	342
700	800	341
701	801	340
702	803	339
703	804	338
704	806	337
705	806	335
706	808	334
707	809	333
708	810	332
709	811	331
710	812	330
711	814	329
712	815	328
713	816	327
714	817	325
715	819	324
716	820	323
717	821	322
718	823	321
719	824	320
720	825	319
721	826	318
722	827	317
723	829	316
724	830	315
725	831	313
726	833	312
727	834	311
728	835	310
729	837	309
730	838	308
731	839	307
732	840	306
733	842	305
734	843	304
735	845	303
736	847	302
737	848	301
738	849	300
739	851	299
740	852	297
741	853	296
742	854	295
743	855	294
744	857	293
745	858	292
746	860	291
747	861	290
748	862	289
749	864	288
750	865	286
751	866	285
752	868	284
753	869	283
754	870	282
755	872	281
756	873	280
757	874	279
758	875	278
759	877	276
760	878	275
761	879	274
762	880	273
763	882	272
764	883	271
765	884	270
766	885	269
767	887	268
768	888	266
769	889	265
770	890	264
771	892	263
772	893	262
773	894	261
774	896	260
775	897	259
776	898	257
777	899	256
778	901	255
779	902	254
780	903	253
781	904	252
782	906	251
783	907	250
784	908	248
785	910	247
786	911	246
787	912	245
788	914	244
789	915	243
790	916	242
791	918	241
792	919	239
793	920	238
794	921	237
795	923	236
796	924	235
797	925	234
798	926	233
799	928	232
800	929	230
801	930	229
802	931	228
803	933	227
804	934	226
805	935	225
806	936	224
807	938	222
808	939	221
809	940	220
810	942	219
811	943	218
812	944	217
813	946	216
814	947	215
815	948	213
816	949	212
817	950	211
818	951	210
819	952	209
820	953	207
821	954	206
822	955	205
823	956	204
824	957	203
825	958	201
826	959	200
827	960	199
828	960	198
829	961	196
830	962	195
831	963	194
832	964	193
833	965	192
834	966	191
835	967	189
836	968	188
837	969	187
838	970	186
839	971	185
840	972	183
841	973	182
842	974	181
843	975	180
844	976	179
845	977	177
846	977	176
847	978	175
848	979	174
849	980	173
850	981	171
851	982	170
852	983	169
853	984	168
854	985	167
855	986	165
856	987	164
857	988	163
858	989	162
859	990	161
860	991	159
861	991	158
862	992	157
863	993	156
864	994	155
865	995	154
866	996	152
867	997	151
868	998	150
869	999	149
870	1000	148
871	1001	146
872	1002	145
873	1002	144
874	1003	143
875	1004	142
876	1005	141
877	1006	139
878	1007	138
879	1008	137
880	1009	136
881	1010	135
882	1010	133
883	1011	132
884	1012	131
885	1013	130
886	1014	129
887	1015	128
888	1016	126
889	1017	125
890	1018	124
891	1019	123
892	1020	122
893	1021	121
894	1022	119
895	1023	118
896	1024	117
897	1025	116
898	1026	115
899	1027	114
900	1028	112
901	1028	111
902	1029	110
903	1030	109
904	1031	108
905	1032	107
906	1033	105
907	1034	104
908	1035	103
909	1036	102
910	1037	101
911	1038	100
912	1039	99
913	1040	97
914	1041	96
915	1042	95
916	1042	94
917	1043	93
918	1044	92
919	1045	90
920	1046	89
921	1047	88
922	1048	87
923	1049	86
924	1050	85
925	1051	84
926	1052	82
927	1053	81
928	1054	80
929	1055	79
930	1056	78
931	1057	77
932	1058	75
933	1059	74
934	1060	73
935	1060	72
936	1061	71
937	1062	70
938	1063	69
939	1064	67
940	1066	66
941	1067	65
942	1068	64
943	1069	63
944	1070	62
945	1071	61
946	1072	59
947	1072	58
948	1073	57
949	1074	56
950	1075	55
951	1076	54
952	1077	53
953	1078	52
954	1079	50
955	1080	49
956	1081	48
957	1082	47
958	1083	46
959	1083	45
960	1084	44
961	1085	42
962	1086	41
963	1087	40
964	1088	39
965	1089	38
966	1090	37
967	1091	36
968	1092	34
969	1093	33
970	1094	32
971	1095	31
972	1096	30
973	1097	29
974	1098	28
975	1098	27
976	1099	25
977	1100	24
978	1101	23
979	1102	22
980	1103	21
981	1104	20
982	1105	19
983	1106	17
984	1107	16
985	1108	15
986	1109	14
987	1110	13
988	1111	12
989	1111	11
990	1112	10
991	1113	8
992	1114	7
993	1115	6
994	1116	5
995	1117	4
996	1118	3
997	1119	2
998	1120	1
999	1121	0
